wkt,latitude,longitude
252,3956.3689N,11623.9358E
252,3956.3688N,11623.9356E
251,3956.3687N,11623.9355E
251,3956.3688N,11623.9353E
251,3956.3688N,11623.9354E
250,3956.3688N,11623.9355E
250,3956.3689N,11623.9355E
250,3956.369N,11623.9355E
250,3956.369N,11623.9355E
250,3956.369N,11623.9355E
249,3956.369N,11623.9355E
249,3956.3691N,11623.9355E
249,3956.3691N,11623.9354E
249,3956.3692N,11623.9353E
248,3956.3692N,11623.9353E
248,3956.3692N,11623.9353E
248,3956.3692N,11623.9352E
247,3956.3693N,11623.9349E
247,3956.3693N,11623.9349E
247,3956.3695N,11623.935E
246,3956.3696N,11623.9352E
246,3956.3698N,11623.9353E
246,3956.3699N,11623.9355E
246,3956.37N,11623.9356E
245,3956.3702N,11623.9356E
245,3956.3703N,11623.9356E
245,3956.3703N,11623.9356E
245,3956.3704N,11623.9357E
244,3956.3704N,11623.9357E
244,3956.3705N,11623.9358E
244,3956.3705N,11623.9358E
243,3956.3706N,11623.9357E
243,3956.3706N,11623.9358E
243,3956.3707N,11623.9359E
243,3956.3707N,11623.9358E
243,3956.3706N,11623.9358E
242,3956.3705N,11623.9357E
242,3956.3703N,11623.9354E
241,3956.3698N,11623.9355E
240,3956.3695N,11623.9358E
240,3956.3691N,11623.9362E
240,3956.3686N,11623.9364E
239,3956.3681N,11623.9366E
239,3956.3678N,11623.9367E
242,3956.3674N,11623.9369E
248,3956.3672N,11623.9371E
247,3956.3666N,11623.9372E
247,3956.3662N,11623.9372E
246,3956.3654N,11623.9373E
245,3956.3649N,11623.9375E
244,3956.3643N,11623.9375E
244,3956.3638N,11623.9376E
243,3956.3628N,11623.9377E
243,3956.3619N,11623.9377E
242,3956.3613N,11623.9377E
242,3956.3609N,11623.938E
242,3956.3603N,11623.9381E
241,3956.3599N,11623.9383E
241,3956.3591N,11623.9386E
241,3956.3582N,11623.9389E
240,3956.3576N,11623.939E
240,3956.357N,11623.9391E
240,3956.3565N,11623.9392E
240,3956.356N,11623.9392E
239,3956.3556N,11623.9392E
239,3956.3551N,11623.939E
239,3956.3548N,11623.9388E
239,3956.3546N,11623.9384E
239,3956.3544N,11623.9383E
239,3956.3543N,11623.9382E
239,3956.3541N,11623.9383E
238,3956.3538N,11623.9383E
238,3956.3535N,11623.9385E
238,3956.3528N,11623.9386E
238,3956.352N,11623.9385E
237,3956.351N,11623.9386E
237,3956.3506N,11623.9387E
237,3956.3507N,11623.9388E
237,3956.3507N,11623.939E
237,3956.3515N,11623.939E
236,3956.3514N,11623.939E
236,3956.3508N,11623.9392E
236,3956.3506N,11623.9393E
236,3956.3505N,11623.9395E
236,3956.3504N,11623.9394E
235,3956.3503N,11623.9395E
235,3956.3502N,11623.9395E
235,3956.3502N,11623.9395E
235,3956.3505N,11623.9395E
234,3956.3507N,11623.9394E
234,3956.3505N,11623.9391E
234,3956.3498N,11623.9389E
234,3956.3494N,11623.9386E
234,3956.3492N,11623.9383E
233,3956.3489N,11623.9383E
233,3956.3486N,11623.9384E
233,3956.3484N,11623.9386E
233,3956.3485N,11623.9386E
233,3956.3485N,11623.9385E
232,3956.3481N,11623.9387E
232,3956.3481N,11623.939E
232,3956.3484N,11623.9392E
232,3956.3478N,11623.9394E
232,3956.3472N,11623.9395E
231,3956.3473N,11623.9395E
231,3956.3472N,11623.9397E
230,3956.3467N,11623.9395E
230,3956.3459N,11623.9393E
229,3956.3451N,11623.9389E
229,3956.3444N,11623.9386E
229,3956.3436N,11623.9385E
229,3956.3428N,11623.9386E
228,3956.3423N,11623.9388E
228,3956.3415N,11623.9387E
227,3956.3408N,11623.9384E
227,3956.3399N,11623.938E
227,3956.3391N,11623.9376E
227,3956.3381N,11623.9373E
227,3956.3369N,11623.9371E
226,3956.336N,11623.9372E
226,3956.3349N,11623.9372E
227,3956.3339N,11623.9369E
227,3956.3333N,11623.9368E
227,3956.3323N,11623.9367E
227,3956.3313N,11623.9362E
228,3956.3306N,11623.9364E
228,3956.3298N,11623.937E
229,3956.3292N,11623.938E
229,3956.329N,11623.9392E
229,3956.3291N,11623.9404E
229,3956.3292N,11623.9417E
229,3956.329N,11623.9428E
229,3956.3288N,11623.9438E
229,3956.3286N,11623.9446E
229,3956.3285N,11623.9456E
229,3956.328N,11623.9467E
228,3956.3269N,11623.9473E
228,3956.3259N,11623.9478E
228,3956.325N,11623.948E
227,3956.324N,11623.9482E
227,3956.3231N,11623.9482E
227,3956.3221N,11623.9484E
228,3956.3211N,11623.9487E
228,3956.3202N,11623.949E
229,3956.3193N,11623.9494E
229,3956.3183N,11623.9499E
228,3956.3173N,11623.9504E
228,3956.3166N,11623.9512E
228,3956.316N,11623.9523E
227,3956.3156N,11623.9532E
228,3956.3155N,11623.9543E
228,3956.3152N,11623.9553E
227,3956.3151N,11623.9564E
227,3956.3152N,11623.9579E
227,3956.3152N,11623.9596E
226,3956.3153N,11623.9615E
226,3956.3156N,11623.9638E
225,3956.3158N,11623.9661E
225,3956.3158N,11623.9683E
225,3956.3159N,11623.9706E
224,3956.3159N,11623.9728E
223,3956.3158N,11623.9749E
221,3956.3157N,11623.9769E
220,3956.3156N,11623.979E
220,3956.3155N,11623.9811E
220,3956.3153N,11623.9831E
220,3956.3153N,11623.9854E
219,3956.3149N,11623.9873E
220,3956.3142N,11623.9889E
220,3956.3129N,11623.9898E
221,3956.3113N,11623.9902E
220,3956.3099N,11623.9906E
219,3956.3083N,11623.9909E
218,3956.3066N,11623.991E
218,3956.305N,11623.991E
218,3956.3037N,11623.9912E
218,3956.3022N,11623.9912E
219,3956.3008N,11623.9915E
220,3956.2993N,11623.9917E
220,3956.2978N,11623.9919E
220,3956.2962N,11623.9923E
220,3956.2948N,11623.9927E
221,3956.2934N,11623.9932E
221,3956.2918N,11623.9935E
220,3956.2903N,11623.9938E
220,3956.2888N,11623.9939E
219,3956.2873N,11623.9941E
219,3956.2858N,11623.9942E
220,3956.2843N,11623.9945E
220,3956.2826N,11623.995E
221,3956.2808N,11623.9954E
222,3956.2789N,11623.9951E
221,3956.2772N,11623.995E
219,3956.2756N,11623.995E
220,3956.274N,11623.9949E
224,3956.2723N,11623.9948E
228,3956.2708N,11623.9944E
232,3956.2694N,11623.9933E
235,3956.2686N,11623.9915E
236,3956.2682N,11623.9897E
238,3956.2679N,11623.9879E
239,3956.2676N,11623.9862E
240,3956.2672N,11623.9847E
240,3956.2669N,11623.9833E
241,3956.2667N,11623.9818E
241,3956.2663N,11623.9808E
241,3956.2659N,11623.9795E
241,3956.2657N,11623.9783E
241,3956.2654N,11623.9771E
241,3956.2651N,11623.9758E
240,3956.265N,11623.9743E
240,3956.2653N,11623.9724E
239,3956.2661N,11623.971E
239,3956.2672N,11623.97E
238,3956.2683N,11623.9694E
237,3956.2694N,11623.9687E
236,3956.27N,11623.9686E
235,3956.2702N,11623.9687E
235,3956.2704N,11623.9687E
234,3956.2715N,11623.9682E
234,3956.2731N,11623.9678E
234,3956.2749N,11623.9673E
233,3956.2762N,11623.9667E
234,3956.2772N,11623.9659E
235,3956.2783N,11623.9649E
235,3956.279N,11623.9643E
233,3956.28N,11623.9644E
233,3956.2816N,11623.9643E
233,3956.2835N,11623.9644E
233,3956.2852N,11623.9643E
232,3956.2869N,11623.964E
232,3956.2886N,11623.9639E
232,3956.2902N,11623.9637E
233,3956.2915N,11623.9635E
234,3956.2927N,11623.9626E
234,3956.2934N,11623.9615E
235,3956.2941N,11623.9602E
235,3956.2948N,11623.9589E
235,3956.296N,11623.9582E
235,3956.2961N,11623.9597E
235,3956.297N,11623.9623E
234,3956.2979N,11623.9642E
234,3956.2986N,11623.9657E
235,3956.2991N,11623.9672E
236,3956.2998N,11623.9697E
237,3956.3002N,11623.9722E
237,3956.3011N,11623.9737E
237,3956.3014N,11623.9748E
237,3956.3014N,11623.9757E
238,3956.3014N,11623.9763E
238,3956.3022N,11623.9764E
238,3956.3035N,11623.977E
238,3956.3054N,11623.9778E
238,3956.307N,11623.9793E
238,3956.3086N,11623.981E
238,3956.3096N,11623.9824E
238,3956.3113N,11623.9835E
238,3956.3129N,11623.9845E
238,3956.3145N,11623.9855E
238,3956.3161N,11623.9865E
237,3956.3177N,11623.9875E
237,3956.3193N,11623.9886E
237,3956.3209N,11623.9896E
237,3956.3225N,11623.9906E
237,3956.3241N,11623.9916E
237,3956.3258N,11623.9926E
237,3956.3274N,11623.9936E
236,3956.329N,11623.9947E
236,3956.3306N,11623.9957E
236,3956.3322N,11623.9967E
217,3956.3072N,11623.9783E
217,3956.3095N,11623.9834E
217,3956.3081N,11623.9833E
217,3956.3077N,11623.9795E
216,3956.3077N,11623.9792E
216,3956.3072N,11623.9812E
216,3956.3075N,11623.9814E
216,3956.3072N,11623.9815E
216,3956.3068N,11623.981E
216,3956.3061N,11623.9811E
216,3956.306N,11623.9808E
216,3956.3065N,11623.9804E
216,3956.3073N,11623.9797E
216,3956.3073N,11623.9797E
216,3956.3076N,11623.9782E
216,3956.3078N,11623.9769E
215,3956.3073N,11623.9759E
216,3956.3069N,11623.9752E
216,3956.3064N,11623.9749E
216,3956.3057N,11623.9745E
216,3956.3054N,11623.974E
216,3956.3051N,11623.9734E
216,3956.3047N,11623.9729E
216,3956.3045N,11623.9725E
216,3956.3047N,11623.9722E
216,3956.305N,11623.9721E
216,3956.3055N,11623.972E
216,3956.3058N,11623.9718E
217,3956.3063N,11623.9715E
216,3956.3071N,11623.9713E
216,3956.308N,11623.971E
217,3956.3088N,11623.9705E
216,3956.3095N,11623.9696E
216,3956.3103N,11623.9683E
216,3956.3113N,11623.9667E
216,3956.3123N,11623.9651E
216,3956.3134N,11623.9635E
216,3956.3144N,11623.9619E
217,3956.3147N,11623.9649E
216,3956.3144N,11623.9647E
216,3956.3123N,11623.9652E
216,3956.3087N,11623.9659E
216,3956.3064N,11623.9668E
216,3956.3044N,11623.9674E
216,3956.3032N,11623.9681E
216,3956.3017N,11623.9687E
216,3956.3N,11623.9688E
216,3956.2986N,11623.9685E
216,3956.2976N,11623.9687E
216,3956.2968N,11623.9687E
216,3956.2961N,11623.9685E
216,3956.2952N,11623.9685E
216,3956.2944N,11623.9682E
216,3956.2935N,11623.968E
216,3956.2928N,11623.9679E
216,3956.292N,11623.9679E
216,3956.2912N,11623.9678E
216,3956.2905N,11623.9678E
216,3956.2898N,11623.9679E
216,3956.2891N,11623.9678E
216,3956.2887N,11623.9681E
216,3956.2885N,11623.9683E
216,3956.2884N,11623.9684E
216,3956.2874N,11623.9682E
216,3956.2863N,11623.9678E
216,3956.2854N,11623.9672E
215,3956.2849N,11623.9669E
215,3956.2847N,11623.9667E
214,3956.2842N,11623.9671E
215,3956.2837N,11623.9673E
215,3956.2832N,11623.9677E
215,3956.2826N,11623.9678E
215,3956.282N,11623.9678E
215,3956.2813N,11623.968E
215,3956.2806N,11623.9684E
216,3956.28N,11623.9687E
216,3956.2796N,11623.9689E
216,3956.2792N,11623.9691E
216,3956.2789N,11623.9691E
216,3956.2781N,11623.9692E
216,3956.277N,11623.9695E
216,3956.2762N,11623.9698E
216,3956.2759N,11623.9702E
216,3956.2753N,11623.9707E
216,3956.2748N,11623.971E
216,3956.2742N,11623.971E
216,3956.2735N,11623.9708E
216,3956.2727N,11623.9707E
216,3956.272N,11623.9707E
216,3956.2712N,11623.9707E
216,3956.2704N,11623.9705E
216,3956.2698N,11623.9704E
216,3956.2691N,11623.9699E
216,3956.2685N,11623.9695E
216,3956.268N,11623.9691E
216,3956.2677N,11623.9687E
216,3956.2674N,11623.9682E
216,3956.2672N,11623.9675E
216,3956.267N,11623.9668E
216,3956.2668N,11623.9663E
216,3956.2666N,11623.9658E
216,3956.2664N,11623.9652E
216,3956.2662N,11623.9647E
216,3956.266N,11623.9643E
216,3956.2659N,11623.9638E
216,3956.2658N,11623.9633E
216,3956.2657N,11623.9627E
216,3956.2656N,11623.9621E
216,3956.2656N,11623.9614E
216,3956.2655N,11623.9608E
216,3956.2655N,11623.9603E
216,3956.2654N,11623.9597E
216,3956.2655N,11623.9591E
216,3956.2654N,11623.9584E
216,3956.2654N,11623.9577E
216,3956.2654N,11623.9569E
216,3956.2654N,11623.9563E
216,3956.2653N,11623.9557E
216,3956.2653N,11623.9552E
216,3956.2654N,11623.9546E
216,3956.2654N,11623.954E
216,3956.2653N,11623.9534E
216,3956.2653N,11623.9528E
215,3956.2654N,11623.9518E
215,3956.2654N,11623.9507E
216,3956.2654N,11623.95E
216,3956.2654N,11623.9497E
216,3956.2653N,11623.9497E
216,3956.2653N,11623.9497E
216,3956.2653N,11623.9496E
216,3956.2652N,11623.949E
216,3956.2651N,11623.9483E
216,3956.265N,11623.9475E
216,3956.265N,11623.9466E
216,3956.2652N,11623.9457E
215,3956.2654N,11623.9443E
215,3956.2656N,11623.9428E
215,3956.2656N,11623.9414E
216,3956.2656N,11623.94E
215,3956.2656N,11623.9389E
215,3956.2654N,11623.9379E
215,3956.2652N,11623.9369E
215,3956.2651N,11623.9358E
215,3956.2649N,11623.9348E
215,3956.2649N,11623.9341E
215,3956.2647N,11623.9331E
215,3956.2645N,11623.9322E
216,3956.2644N,11623.9312E
216,3956.2643N,11623.9303E
216,3956.2643N,11623.9294E
216,3956.2643N,11623.9288E
216,3956.2643N,11623.928E
216,3956.2644N,11623.9272E
216,3956.2641N,11623.9264E
216,3956.2639N,11623.9255E
216,3956.2639N,11623.9247E
216,3956.264N,11623.9241E
216,3956.2642N,11623.9234E
216,3956.2642N,11623.9227E
216,3956.2642N,11623.9219E
216,3956.2642N,11623.9211E
216,3956.2641N,11623.92E
216,3956.264N,11623.9189E
216,3956.264N,11623.9179E
216,3956.264N,11623.9168E
216,3956.264N,11623.9157E
216,3956.264N,11623.9147E
216,3956.2641N,11623.9137E
216,3956.2642N,11623.9126E
216,3956.2642N,11623.9114E
216,3956.2641N,11623.9101E
216,3956.264N,11623.909E
216,3956.264N,11623.9078E
216,3956.2639N,11623.9064E
216,3956.2636N,11623.9048E
216,3956.2634N,11623.9031E
215,3956.2632N,11623.9014E
215,3956.2631N,11623.8996E
215,3956.263N,11623.8979E
216,3956.263N,11623.8961E
215,3956.263N,11623.8944E
215,3956.263N,11623.8927E
216,3956.263N,11623.8909E
215,3956.2631N,11623.8891E
215,3956.2629N,11623.8875E
216,3956.2627N,11623.8859E
216,3956.2625N,11623.8845E
216,3956.2622N,11623.8833E
216,3956.2619N,11623.8819E
216,3956.2619N,11623.8804E
216,3956.262N,11623.8789E
216,3956.262N,11623.8771E
216,3956.2619N,11623.8757E
216,3956.2617N,11623.8743E
216,3956.2616N,11623.8725E
216,3956.2615N,11623.8707E
216,3956.2615N,11623.869E
216,3956.2614N,11623.8671E
216,3956.2614N,11623.8653E
216,3956.2614N,11623.8635E
216,3956.2615N,11623.8621E
217,3956.2616N,11623.8606E
217,3956.2616N,11623.8593E
217,3956.2617N,11623.858E
217,3956.2618N,11623.857E
217,3956.2617N,11623.8559E
217,3956.2618N,11623.8545E
217,3956.2618N,11623.8529E
217,3956.2619N,11623.8515E
217,3956.2619N,11623.8499E
217,3956.262N,11623.8483E
217,3956.262N,11623.8466E
217,3956.2621N,11623.8448E
217,3956.262N,11623.843E
217,3956.262N,11623.8413E
217,3956.262N,11623.8394E
218,3956.262N,11623.8376E
218,3956.2619N,11623.8359E
218,3956.2619N,11623.8343E
218,3956.262N,11623.8329E
219,3956.2621N,11623.8314E
219,3956.2621N,11623.8301E
219,3956.2622N,11623.8287E
219,3956.2622N,11623.8274E
219,3956.2621N,11623.8261E
219,3956.262N,11623.825E
219,3956.262N,11623.824E
219,3956.262N,11623.8234E
220,3956.262N,11623.823E
220,3956.262N,11623.8226E
220,3956.2619N,11623.8219E
220,3956.2617N,11623.821E
220,3956.2615N,11623.8202E
220,3956.2614N,11623.8196E
220,3956.2612N,11623.8191E
220,3956.2612N,11623.8186E
220,3956.2613N,11623.8181E
220,3956.2613N,11623.8178E
221,3956.2611N,11623.8175E
221,3956.261N,11623.8173E
221,3956.261N,11623.8171E
221,3956.261N,11623.817E
221,3956.2612N,11623.817E
222,3956.2612N,11623.8171E
221,3956.2615N,11623.8173E
222,3956.2619N,11623.8175E
222,3956.2625N,11623.8174E
221,3956.263N,11623.8172E
221,3956.2636N,11623.8169E
221,3956.2639N,11623.8164E
221,3956.264N,11623.8158E
221,3956.264N,11623.8151E
221,3956.2641N,11623.8145E
221,3956.2642N,11623.8139E
221,3956.2643N,11623.8132E
221,3956.2643N,11623.8126E
221,3956.2642N,11623.8121E
221,3956.2642N,11623.8113E
221,3956.2642N,11623.8101E
220,3956.2643N,11623.8088E
220,3956.2643N,11623.8076E
221,3956.2644N,11623.8066E
221,3956.2643N,11623.8057E
221,3956.2643N,11623.8048E
221,3956.2643N,11623.804E
221,3956.2642N,11623.8029E
221,3956.2642N,11623.8018E
221,3956.2643N,11623.8005E
221,3956.2644N,11623.7995E
221,3956.2644N,11623.7984E
221,3956.2642N,11623.7975E
221,3956.264N,11623.7966E
221,3956.2639N,11623.7956E
220,3956.2638N,11623.7946E
220,3956.2637N,11623.7935E
220,3956.2636N,11623.7923E
220,3956.2638N,11623.7912E
220,3956.264N,11623.7898E
220,3956.264N,11623.7882E
220,3956.2638N,11623.7868E
220,3956.2639N,11623.7854E
220,3956.2641N,11623.7843E
220,3956.2643N,11623.7831E
220,3956.2643N,11623.7822E
220,3956.2643N,11623.7814E
220,3956.2641N,11623.7805E
220,3956.2638N,11623.7792E
220,3956.2635N,11623.7777E
220,3956.2634N,11623.7761E
219,3956.2633N,11623.7743E
219,3956.2633N,11623.7724E
219,3956.2632N,11623.7709E
220,3956.2631N,11623.769E
220,3956.2628N,11623.767E
220,3956.2625N,11623.765E
220,3956.2624N,11623.7628E
220,3956.2625N,11623.7609E
220,3956.2626N,11623.759E
220,3956.2627N,11623.7571E
220,3956.2628N,11623.7554E
220,3956.2629N,11623.7536E
220,3956.263N,11623.7518E
220,3956.2632N,11623.75E
220,3956.2633N,11623.7482E
220,3956.2632N,11623.7465E
220,3956.2629N,11623.745E
220,3956.2626N,11623.7439E
220,3956.2624N,11623.7427E
220,3956.2623N,11623.7419E
220,3956.2622N,11623.7418E
220,3956.262N,11623.7417E
220,3956.2619N,11623.7415E
220,3956.2618N,11623.741E
220,3956.2617N,11623.7402E
221,3956.2618N,11623.7392E
221,3956.2617N,11623.7382E
221,3956.2617N,11623.737E
221,3956.2616N,11623.7357E
221,3956.2616N,11623.7347E
221,3956.2616N,11623.7336E
220,3956.2616N,11623.7327E
221,3956.2617N,11623.7318E
220,3956.2617N,11623.7307E
220,3956.2616N,11623.7298E
220,3956.2615N,11623.7287E
220,3956.2612N,11623.7277E
220,3956.2611N,11623.7267E
220,3956.261N,11623.7256E
220,3956.2611N,11623.7244E
220,3956.2612N,11623.7231E
220,3956.2613N,11623.7218E
220,3956.2614N,11623.7206E
220,3956.2613N,11623.7194E
220,3956.2612N,11623.7179E
220,3956.2611N,11623.7165E
220,3956.2612N,11623.715E
219,3956.2612N,11623.7133E
220,3956.2613N,11623.7117E
220,3956.2614N,11623.7102E
220,3956.2613N,11623.7085E
220,3956.2612N,11623.707E
220,3956.2611N,11623.7054E
220,3956.2609N,11623.7037E
220,3956.2608N,11623.7021E
220,3956.2607N,11623.7005E
220,3956.2604N,11623.6989E
221,3956.26N,11623.6974E
220,3956.2599N,11623.6958E
220,3956.2599N,11623.6943E
220,3956.2598N,11623.6928E
220,3956.2597N,11623.6912E
220,3956.2599N,11623.6897E
220,3956.2599N,11623.6882E
220,3956.2601N,11623.6867E
220,3956.2601N,11623.6852E
220,3956.2602N,11623.6836E
220,3956.2599N,11623.682E
220,3956.2597N,11623.6802E
220,3956.2596N,11623.6782E
220,3956.2597N,11623.6762E
220,3956.2597N,11623.6744E
220,3956.2598N,11623.6727E
220,3956.26N,11623.6707E
220,3956.2601N,11623.6688E
220,3956.2601N,11623.6666E
220,3956.26N,11623.6646E
219,3956.2599N,11623.6627E
219,3956.2598N,11623.6605E
220,3956.2598N,11623.6584E
220,3956.2597N,11623.6563E
220,3956.2594N,11623.6542E
220,3956.2594N,11623.6524E
220,3956.2595N,11623.6507E
220,3956.2596N,11623.6489E
220,3956.2598N,11623.6474E
220,3956.2598N,11623.6457E
220,3956.2597N,11623.6438E
220,3956.2595N,11623.642E
220,3956.2593N,11623.6399E
221,3956.2592N,11623.6377E
220,3956.2591N,11623.6356E
221,3956.2589N,11623.6336E
221,3956.2585N,11623.6318E
221,3956.2576N,11623.6307E
221,3956.2564N,11623.6304E
221,3956.2551N,11623.6304E
221,3956.2537N,11623.6303E
221,3956.2522N,11623.6301E
221,3956.2507N,11623.6299E
221,3956.2491N,11623.6298E
221,3956.2476N,11623.6299E
221,3956.2461N,11623.6297E
221,3956.2445N,11623.6297E
221,3956.2431N,11623.6296E
221,3956.2417N,11623.6296E
221,3956.2403N,11623.6294E
221,3956.239N,11623.6292E
222,3956.2377N,11623.629E
221,3956.2366N,11623.6288E
222,3956.2353N,11623.6286E
222,3956.2342N,11623.6285E
222,3956.2331N,11623.6285E
222,3956.2321N,11623.6285E
222,3956.2312N,11623.6283E
222,3956.2302N,11623.6283E
222,3956.2291N,11623.6281E
222,3956.2277N,11623.6279E
222,3956.2262N,11623.6275E
222,3956.2248N,11623.6273E
222,3956.2236N,11623.6269E
222,3956.2224N,11623.6271E
222,3956.2212N,11623.6273E
222,3956.2201N,11623.6275E
222,3956.219N,11623.6276E
222,3956.2179N,11623.6272E
223,3956.2169N,11623.6268E
223,3956.2158N,11623.6265E
223,3956.2148N,11623.6264E
223,3956.2139N,11623.6262E
223,3956.2132N,11623.6261E
224,3956.2126N,11623.626E
224,3956.2121N,11623.626E
224,3956.2116N,11623.6259E
224,3956.2114N,11623.6258E
225,3956.2114N,11623.6259E
225,3956.2112N,11623.626E
226,3956.2113N,11623.6259E
226,3956.2113N,11623.6259E
227,3956.2113N,11623.6259E
227,3956.2113N,11623.6259E
228,3956.2114N,11623.6258E
228,3956.2112N,11623.6257E
229,3956.211N,11623.6255E
229,3956.2106N,11623.6252E
230,3956.2103N,11623.6251E
230,3956.2103N,11623.6251E
231,3956.2106N,11623.6251E
231,3956.2107N,11623.6252E
232,3956.2105N,11623.6252E
233,3956.2105N,11623.6251E
234,3956.2102N,11623.6251E
234,3956.21N,11623.6251E
234,3956.2096N,11623.6251E
234,3956.2092N,11623.6252E
234,3956.2091N,11623.6252E
235,3956.2091N,11623.6253E
235,3956.2091N,11623.6254E
235,3956.2091N,11623.6254E
235,3956.209N,11623.6255E
236,3956.2089N,11623.6255E
236,3956.2089N,11623.6255E
236,3956.209N,11623.6255E
236,3956.209N,11623.6255E
236,3956.209N,11623.6255E
236,3956.209N,11623.6255E
236,3956.209N,11623.6255E
236,3956.209N,11623.6255E
236,3956.2091N,11623.6254E
237,3956.2094N,11623.6255E
237,3956.2095N,11623.6257E
237,3956.2097N,11623.6258E
237,3956.2098N,11623.6257E
236,3956.21N,11623.6256E
236,3956.2101N,11623.6255E
236,3956.2101N,11623.6255E
236,3956.2101N,11623.6253E
236,3956.21N,11623.625E
236,3956.21N,11623.6248E
237,3956.21N,11623.6247E
237,3956.2101N,11623.6246E
237,3956.2101N,11623.6245E
237,3956.2101N,11623.6244E
237,3956.2102N,11623.6244E
237,3956.2104N,11623.6243E
237,3956.2105N,11623.6243E
237,3956.2105N,11623.6243E
237,3956.2106N,11623.6242E
237,3956.2107N,11623.6243E
237,3956.2107N,11623.6242E
237,3956.2107N,11623.624E
237,3956.2107N,11623.6237E
237,3956.2107N,11623.6237E
237,3956.2109N,11623.6238E
237,3956.2109N,11623.6238E
237,3956.2111N,11623.6239E
237,3956.2114N,11623.6237E
237,3956.2113N,11623.6238E
237,3956.2112N,11623.6238E
237,3956.211N,11623.6238E
237,3956.2109N,11623.6237E
237,3956.2107N,11623.6237E
237,3956.2106N,11623.6236E
236,3956.2106N,11623.6235E
237,3956.2105N,11623.6234E
237,3956.2104N,11623.6234E
236,3956.2103N,11623.6233E
236,3956.2103N,11623.6233E
236,3956.2103N,11623.6233E
236,3956.2103N,11623.6233E
236,3956.2102N,11623.6236E
236,3956.2101N,11623.6238E
236,3956.2101N,11623.6241E
236,3956.21N,11623.6247E
236,3956.2098N,11623.6251E
236,3956.2099N,11623.6249E
236,3956.2096N,11623.6251E
236,3956.2092N,11623.6257E
236,3956.2087N,11623.6266E
236,3956.2081N,11623.6277E
236,3956.2077N,11623.6283E
236,3956.2075N,11623.6286E
236,3956.2071N,11623.6293E
236,3956.2068N,11623.6305E
236,3956.2064N,11623.6312E
236,3956.2062N,11623.6307E
236,3956.206N,11623.6303E
236,3956.2058N,11623.6301E
236,3956.2059N,11623.63E
236,3956.2057N,11623.6301E
236,3956.2059N,11623.6307E
236,3956.2061N,11623.6311E
236,3956.2059N,11623.6309E
236,3956.2062N,11623.6308E
236,3956.2062N,11623.6306E
236,3956.2057N,11623.6312E
236,3956.2048N,11623.6319E
236,3956.2041N,11623.6325E
236,3956.2034N,11623.6331E
236,3956.2026N,11623.6335E
236,3956.2019N,11623.6332E
236,3956.2015N,11623.6329E
236,3956.2014N,11623.6322E
236,3956.2025N,11623.6306E
236,3956.2033N,11623.6297E
236,3956.2039N,11623.6287E
236,3956.2044N,11623.6282E
236,3956.2049N,11623.6274E
236,3956.2054N,11623.6272E
236,3956.2062N,11623.6272E
236,3956.2067N,11623.6267E
236,3956.2068N,11623.6261E
236,3956.2072N,11623.6255E
235,3956.2069N,11623.6251E
235,3956.2069N,11623.6245E
235,3956.207N,11623.6244E
235,3956.2075N,11623.6239E
235,3956.2082N,11623.6239E
235,3956.2087N,11623.6237E
235,3956.2089N,11623.6241E
235,3956.2094N,11623.6244E
235,3956.2101N,11623.6242E
235,3956.2113N,11623.6243E
235,3956.2132N,11623.6245E
234,3956.2159N,11623.6239E
234,3956.2175N,11623.6242E
234,3956.219N,11623.6247E
234,3956.2173N,11623.6263E
234,3956.216N,11623.6287E
234,3956.2154N,11623.6305E
234,3956.2144N,11623.6328E
234,3956.2138N,11623.6356E
234,3956.2129N,11623.6391E
235,3956.2116N,11623.6431E
235,3956.2101N,11623.6466E
235,3956.2081N,11623.6493E
235,3956.2053N,11623.6504E
235,3956.2033N,11623.653E
235,3956.2012N,11623.6555E
235,3956.1992N,11623.6581E
235,3956.1978N,11623.6511E
235,3956.1961N,11623.6482E
235,3956.1943N,11623.6468E
235,3956.1921N,11623.6447E
235,3956.1904N,11623.6426E
235,3956.1884N,11623.6409E
235,3956.1852N,11623.6392E
235,3956.1845N,11623.637E
235,3956.19N,11623.6331E
235,3956.1964N,11623.6291E
235,3956.1991N,11623.6266E
235,3956.1994N,11623.6249E
235,3956.2007N,11623.6234E
235,3956.202N,11623.6221E
235,3956.2027N,11623.6211E
235,3956.204N,11623.6197E
235,3956.2049N,11623.6172E
235,3956.2056N,11623.6146E
234,3956.2055N,11623.6119E
234,3956.2057N,11623.6087E
234,3956.2059N,11623.6055E
234,3956.2056N,11623.6027E
234,3956.2054N,11623.6E
233,3956.2051N,11623.5973E
233,3956.2049N,11623.5945E
233,3956.2046N,11623.5918E
233,3956.2043N,11623.589E
233,3956.2041N,11623.5863E
232,3956.2038N,11623.5835E
232,3956.2036N,11623.5808E
232,3956.2033N,11623.578E
232,3956.2031N,11623.5753E
232,3956.2028N,11623.5725E
232,3956.2026N,11623.5698E
232,3956.2023N,11623.5671E
235,3956.207N,11623.6225E
235,3956.2128N,11623.6114E
235,3956.2173N,11623.6163E
237,3956.2081N,11623.6366E
237,3956.2116N,11623.62E
237,3956.2081N,11623.6249E
238,3956.2119N,11623.627E
238,3956.2118N,11623.6278E
238,3956.2125N,11623.6259E
237,3956.2137N,11623.6245E
237,3956.2147N,11623.6233E
