wkt,latitude,longitude
234,3956.3661N,11624.4986E
234,3956.3665N,11624.4991E
234,3956.3668N,11624.4995E
234,3956.367N,11624.4996E
235,3956.3683N,11624.5009E
235,3956.369N,11624.5016E
235,3956.3694N,11624.502E
235,3956.3697N,11624.5022E
234,3956.37N,11624.5027E
235,3956.3703N,11624.5031E
235,3956.3705N,11624.5034E
236,3956.3707N,11624.5036E
237,3956.3707N,11624.5037E
238,3956.3706N,11624.5037E
238,3956.3704N,11624.5036E
239,3956.3703N,11624.5037E
239,3956.3704N,11624.5039E
239,3956.3703N,11624.504E
239,3956.3702N,11624.5041E
240,3956.3702N,11624.5042E
240,3956.3701N,11624.5042E
240,3956.37N,11624.5042E
241,3956.3698N,11624.5041E
241,3956.3695N,11624.504E
241,3956.3694N,11624.504E
241,3956.3694N,11624.504E
241,3956.3693N,11624.504E
241,3956.3693N,11624.5041E
241,3956.3693N,11624.5041E
241,3956.3695N,11624.5041E
241,3956.3695N,11624.5042E
241,3956.3696N,11624.5043E
241,3956.3696N,11624.5043E
241,3956.3695N,11624.5044E
241,3956.369N,11624.5043E
241,3956.3686N,11624.5042E
241,3956.3684N,11624.5042E
241,3956.3683N,11624.5042E
241,3956.3682N,11624.5042E
241,3956.3683N,11624.5043E
241,3956.3684N,11624.5045E
241,3956.3689N,11624.5048E
241,3956.3693N,11624.5051E
242,3956.3696N,11624.5055E
242,3956.3697N,11624.5057E
243,3956.3697N,11624.5059E
244,3956.3699N,11624.5061E
246,3956.3699N,11624.5061E
263,3956.3698N,11624.506E
266,3956.3695N,11624.5054E
266,3956.3694N,11624.5049E
265,3956.3693N,11624.5044E
264,3956.3692N,11624.5043E
263,3956.3692N,11624.5042E
262,3956.3693N,11624.5039E
260,3956.3692N,11624.5033E
258,3956.3691N,11624.5027E
256,3956.3685N,11624.5012E
255,3956.3678N,11624.4994E
254,3956.3673N,11624.498E
253,3956.3672N,11624.4969E
252,3956.367N,11624.4955E
251,3956.3667N,11624.4938E
250,3956.3665N,11624.4919E
249,3956.3661N,11624.49E
248,3956.3657N,11624.488E
247,3956.3654N,11624.486E
246,3956.3651N,11624.4842E
246,3956.3645N,11624.4818E
245,3956.3637N,11624.4793E
244,3956.363N,11624.4766E
243,3956.3623N,11624.4739E
243,3956.3624N,11624.4722E
244,3956.3623N,11624.4705E
244,3956.362N,11624.4686E
244,3956.3616N,11624.4667E
245,3956.3616N,11624.4653E
246,3956.3618N,11624.4641E
247,3956.3622N,11624.4631E
248,3956.3625N,11624.4621E
249,3956.363N,11624.4613E
250,3956.3636N,11624.4607E
250,3956.3643N,11624.4599E
250,3956.3652N,11624.4592E
251,3956.3664N,11624.4587E
251,3956.3676N,11624.4582E
251,3956.3688N,11624.4572E
251,3956.3696N,11624.4555E
251,3956.3703N,11624.4536E
251,3956.3711N,11624.4517E
251,3956.3719N,11624.4499E
250,3956.3728N,11624.448E
249,3956.3736N,11624.4459E
248,3956.3741N,11624.4435E
247,3956.3745N,11624.441E
247,3956.3746N,11624.4386E
246,3956.3745N,11624.4361E
245,3956.3745N,11624.4336E
245,3956.3744N,11624.431E
243,3956.3742N,11624.4285E
242,3956.3737N,11624.426E
241,3956.3733N,11624.4237E
240,3956.3731N,11624.4216E
240,3956.373N,11624.4193E
240,3956.3728N,11624.4171E
239,3956.3724N,11624.415E
239,3956.3719N,11624.4129E
239,3956.3716N,11624.4108E
239,3956.3713N,11624.4087E
240,3956.3711N,11624.4065E
242,3956.3711N,11624.4042E
243,3956.3709N,11624.402E
243,3956.3707N,11624.3996E
247,3956.3706N,11624.3971E
249,3956.3706N,11624.3946E
248,3956.3708N,11624.3922E
247,3956.371N,11624.3898E
246,3956.3712N,11624.3873E
247,3956.3712N,11624.3847E
248,3956.3713N,11624.3821E
248,3956.371N,11624.3798E
247,3956.3708N,11624.3773E
244,3956.371N,11624.3745E
240,3956.3709N,11624.3719E
244,3956.371N,11624.3693E
242,3956.3713N,11624.3669E
241,3956.3714N,11624.3646E
240,3956.3715N,11624.3624E
238,3956.3712N,11624.3603E
239,3956.3711N,11624.3582E
240,3956.371N,11624.356E
241,3956.3708N,11624.3539E
240,3956.3706N,11624.352E
241,3956.3704N,11624.3502E
240,3956.3698N,11624.3485E
242,3956.3696N,11624.3467E
243,3956.3692N,11624.3449E
244,3956.3691N,11624.3429E
245,3956.3692N,11624.3409E
245,3956.3694N,11624.3388E
245,3956.3697N,11624.3366E
246,3956.3696N,11624.3345E
246,3956.3697N,11624.3322E
246,3956.3696N,11624.33E
248,3956.3692N,11624.328E
251,3956.3691N,11624.3258E
252,3956.369N,11624.3236E
254,3956.3691N,11624.3212E
254,3956.3692N,11624.3188E
255,3956.3694N,11624.3163E
256,3956.3694N,11624.3139E
257,3956.3696N,11624.3113E
258,3956.3695N,11624.3089E
258,3956.3695N,11624.3063E
258,3956.3691N,11624.3038E
257,3956.3689N,11624.3015E
257,3956.3689N,11624.2992E
258,3956.3692N,11624.2969E
257,3956.3694N,11624.2945E
256,3956.3695N,11624.292E
255,3956.3695N,11624.2897E
253,3956.3696N,11624.2875E
252,3956.3697N,11624.2855E
251,3956.3699N,11624.2836E
249,3956.3703N,11624.2816E
250,3956.3704N,11624.2795E
248,3956.3704N,11624.2774E
247,3956.3703N,11624.2752E
248,3956.3703N,11624.2729E
248,3956.3703N,11624.2706E
248,3956.3704N,11624.2683E
250,3956.3704N,11624.2661E
249,3956.3704N,11624.2638E
250,3956.3705N,11624.2615E
253,3956.3706N,11624.2592E
254,3956.3706N,11624.2569E
254,3956.3708N,11624.2545E
255,3956.3708N,11624.2522E
256,3956.3709N,11624.2499E
254,3956.3711N,11624.2475E
252,3956.3713N,11624.245E
251,3956.3715N,11624.2425E
250,3956.3717N,11624.2401E
248,3956.3717N,11624.2378E
249,3956.3715N,11624.2356E
252,3956.3713N,11624.2335E
253,3956.3712N,11624.2315E
249,3956.3711N,11624.2296E
250,3956.3711N,11624.2276E
251,3956.371N,11624.2257E
252,3956.3707N,11624.2238E
251,3956.3703N,11624.2219E
249,3956.3701N,11624.2201E
249,3956.3699N,11624.2183E
247,3956.3698N,11624.2164E
247,3956.3698N,11624.2145E
248,3956.3699N,11624.2125E
249,3956.3701N,11624.2105E
247,3956.3701N,11624.2085E
247,3956.3702N,11624.2064E
247,3956.3703N,11624.2043E
247,3956.3703N,11624.2022E
247,3956.3704N,11624.2001E
249,3956.3705N,11624.1981E
251,3956.3705N,11624.1963E
253,3956.3706N,11624.1946E
255,3956.3706N,11624.193E
257,3956.3706N,11624.1913E
259,3956.3707N,11624.1895E
260,3956.3707N,11624.1875E
261,3956.3706N,11624.1857E
262,3956.3705N,11624.1838E
262,3956.3704N,11624.1818E
261,3956.3707N,11624.1798E
261,3956.3709N,11624.1778E
261,3956.3709N,11624.1757E
261,3956.371N,11624.1736E
262,3956.371N,11624.1715E
262,3956.3713N,11624.1695E
263,3956.3714N,11624.1676E
262,3956.3715N,11624.1658E
262,3956.3716N,11624.1641E
262,3956.3717N,11624.1624E
262,3956.3718N,11624.1608E
261,3956.3718N,11624.1593E
261,3956.3718N,11624.1578E
262,3956.3718N,11624.1565E
262,3956.3718N,11624.1554E
261,3956.372N,11624.1545E
261,3956.3722N,11624.1541E
261,3956.3723N,11624.154E
261,3956.3723N,11624.154E
260,3956.3722N,11624.154E
260,3956.3723N,11624.1538E
260,3956.3723N,11624.1538E
259,3956.3723N,11624.1538E
259,3956.3723N,11624.1538E
258,3956.3723N,11624.1538E
258,3956.3723N,11624.1538E
257,3956.3724N,11624.1538E
257,3956.3724N,11624.1538E
256,3956.3725N,11624.1538E
256,3956.3725N,11624.1538E
255,3956.3727N,11624.1537E
255,3956.3728N,11624.1536E
254,3956.3727N,11624.1537E
254,3956.3725N,11624.1538E
254,3956.3724N,11624.1539E
253,3956.3724N,11624.154E
253,3956.3722N,11624.1541E
253,3956.3721N,11624.1542E
252,3956.3719N,11624.1543E
252,3956.3718N,11624.1544E
252,3956.3717N,11624.1545E
252,3956.3717N,11624.1546E
252,3956.3716N,11624.1547E
251,3956.3716N,11624.1548E
251,3956.3715N,11624.1549E
251,3956.3715N,11624.1549E
251,3956.3713N,11624.155E
251,3956.3712N,11624.1551E
250,3956.3711N,11624.1552E
250,3956.371N,11624.1553E
250,3956.3709N,11624.1554E
250,3956.3709N,11624.1554E
250,3956.3709N,11624.1555E
250,3956.3708N,11624.1556E
249,3956.3706N,11624.1557E
249,3956.3704N,11624.1558E
249,3956.3701N,11624.1559E
249,3956.37N,11624.156E
249,3956.3698N,11624.1561E
