$GPRMC,160542.000,A,3956.3562,N,11623.9267,E,1.10,108.96,100812,,,A*60
$GPRMC,160543.000,A,3956.3557,N,11623.9273,E,1.12,128.55,100812,,,A*6D
$GPRMC,160544.000,A,3956.3541,N,11623.9290,E,1.11,134.09,100812,,,A*67
$GPRMC,160545.000,A,3956.3540,N,11623.9296,E,1.16,226.14,100812,,,A*6A
$GPRMC,160546.000,A,3956.3549,N,11623.9294,E,1.55,288.98,100812,,,A*65
$GPRMC,160547.000,A,3956.3558,N,11623.9286,E,1.82,309.62,100812,,,A*60
$GPRMC,160548.000,A,3956.3551,N,11623.9291,E,0.62,329.24,100812,,,A*6F
$GPRMC,160549.000,A,3956.3535,N,11623.9304,E,0.79,139.98,100812,,,A*6F
$GPRMC,160550.000,A,3956.3524,N,11623.9311,E,2.39,149.74,100812,,,A*60
$GPRMC,160551.000,A,3956.3515,N,11623.9316,E,3.38,142.37,100812,,,A*68
$GPRMC,160552.000,A,3956.3518,N,11623.9318,E,3.75,134.51,100812,,,A*60
$GPRMC,160553.000,A,3956.3512,N,11623.9332,E,4.43,137.78,100812,,,A*69
$GPRMC,160554.000,A,3956.3488,N,11623.9354,E,4.58,137.71,100812,,,A*6F
$GPRMC,160555.000,A,3956.3476,N,11623.9363,E,3.54,141.71,100812,,,A*61
$GPRMC,160556.000,A,3956.3459,N,11623.9377,E,2.57,135.71,100812,,,A*6B
$GPRMC,160557.000,A,3956.3453,N,11623.9386,E,1.15,132.14,100812,,,A*6F
$GPRMC,160558.000,A,3956.3440,N,11623.9396,E,1.04,174.73,100812,,,A*60
$GPRMC,160559.000,A,3956.3438,N,11623.9395,E,0.40,210.94,100812,,,A*64
$GPRMC,160600.000,A,3956.3450,N,11623.9388,E,1.82,329.27,100812,,,A*65
$GPRMC,160601.000,A,3956.3466,N,11623.9377,E,2.37,326.59,100812,,,A*6A
$GPRMC,160602.000,A,3956.3483,N,11623.9365,E,2.76,332.58,100812,,,A*60
$GPRMC,160603.000,A,3956.3497,N,11623.9354,E,2.35,316.98,100812,,,A*6B
$GPRMC,160604.000,A,3956.3519,N,11623.9338,E,2.37,331.48,100812,,,A*6B
$GPRMC,160605.000,A,3956.3525,N,11623.9336,E,0.88,323.01,100812,,,A*63
$GPRMC,160606.000,A,3956.3533,N,11623.9331,E,0.84,306.71,100812,,,A*6C
$GPRMC,160607.000,A,3956.3531,N,11623.9331,E,1.19,266.18,100812,,,A*62
$GPRMC,160608.000,A,3956.3536,N,11623.9325,E,2.15,308.60,100812,,,A*66
$GPRMC,160609.000,A,3956.3549,N,11623.9312,E,3.87,314.51,100812,,,A*6E
$GPRMC,160610.000,A,3956.3567,N,11623.9297,E,4.67,322.65,100812,,,A*6D
$GPRMC,160611.000,A,3956.3577,N,11623.9287,E,4.48,313.76,100812,,,A*61
$GPRMC,160612.000,A,3956.3589,N,11623.9278,E,4.02,332.25,100812,,,A*68
$GPRMC,160613.000,A,3956.3588,N,11623.9279,E,2.38,328.01,100812,,,A*6B
$GPRMC,160614.000,A,3956.3580,N,11623.9285,E,0.54,339.77,100812,,,A*6E
