'Lat','Long',
3956.3695,11624.5042,241
3956.3696,11624.5043,241
3956.3696,11624.5043,241
3956.3695,11624.5044,241
3956.369,11624.5043,241
3956.3686,11624.5042,241
3956.3684,11624.5042,241
3956.3683,11624.5042,241
3956.3682,11624.5042,241
3956.3683,11624.5043,241
3956.3684,11624.5045,241
3956.3689,11624.5048,241
3956.3693,11624.5051,241
3956.3696,11624.5055,242
3956.3697,11624.5057,242
3956.3697,11624.5059,243
3956.3699,11624.5061,244
3956.3699,11624.5061,246
3956.3698,11624.506,263
3956.3695,11624.5054,266
3956.3694,11624.5049,266
3956.3693,11624.5044,265
3956.3692,11624.5043,264
3956.3692,11624.5042,263
3956.3693,11624.5039,262
3956.3692,11624.5033,260
3956.3691,11624.5027,258
3956.3685,11624.5012,256
3956.3678,11624.4994,255
3956.3673,11624.498,254
3956.3672,11624.4969,253
3956.367,11624.4955,252
3956.3667,11624.4938,251
3956.3665,11624.4919,250
3956.3661,11624.49,249
3956.3657,11624.488,248
3956.3654,11624.486,247
3956.3651,11624.4842,246
3956.3645,11624.4818,246
3956.3637,11624.4793,245
3956.363,11624.4766,244
3956.3623,11624.4739,243
3956.3624,11624.4722,243
3956.3623,11624.4705,244
3956.362,11624.4686,244
3956.3616,11624.4667,244
3956.3616,11624.4653,245
3956.3618,11624.4641,246
3956.3622,11624.4631,247
3956.3625,11624.4621,248
3956.363,11624.4613,249
3956.3636,11624.4607,250
3956.3643,11624.4599,250
3956.3652,11624.4592,250
3956.3664,11624.4587,251
3956.3676,11624.4582,251
3956.3688,11624.4572,251
3956.3696,11624.4555,251
3956.3703,11624.4536,251
3956.3711,11624.4517,251
3956.3719,11624.4499,251
3956.3728,11624.448,250
3956.3736,11624.4459,249
3956.3741,11624.4435,248
3956.3745,11624.441,247
3956.3746,11624.4386,247
3956.3745,11624.4361,246
3956.3745,11624.4336,245
3956.3744,11624.431,245
3956.3742,11624.4285,243
3956.3737,11624.426,242
3956.3733,11624.4237,241
3956.3731,11624.4216,240
3956.373,11624.4193,240
3956.3728,11624.4171,240
3956.3724,11624.415,239
3956.3719,11624.4129,239
3956.3716,11624.4108,239
3956.3713,11624.4087,239
3956.3711,11624.4065,240
3956.3711,11624.4042,242
3956.3709,11624.402,243
3956.3707,11624.3996,243
3956.3706,11624.3971,247
3956.3706,11624.3946,249
3956.3708,11624.3922,248
3956.371,11624.3898,247
3956.3712,11624.3873,246
3956.3712,11624.3847,247
3956.3713,11624.3821,248
3956.371,11624.3798,248
3956.3708,11624.3773,247
3956.371,11624.3745,244
3956.3709,11624.3719,240
3956.371,11624.3693,244
3956.3713,11624.3669,242
3956.3714,11624.3646,241
3956.3715,11624.3624,240
3956.3712,11624.3603,238
3956.3711,11624.3582,239
3956.371,11624.356,240
3956.3708,11624.3539,241
3956.3706,11624.352,240
3956.3704,11624.3502,241
